run_id,time_step,period,N,T,initial_corruption_rate_parameter,beta,gamma,alpha,memory_endowment,collaboration_cost,discount_factor,num_corrupted,num_honest,corruption_rate,collaboration_rate,belief_cutoff
0,73,74,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.028088566930140623
0,74,75,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.028285128252893144
0,75,76,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.02850678153265449
0,76,77,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.028757173095959973
0,77,78,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.029040595720756707
0,78,79,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.029362134559810776
0,79,80,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.029727854786130138
0,80,81,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.030145045652442894
0,81,82,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.03062254188429979
0,82,83,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.031171152688018254
0,83,84,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.03180424300659723
0,84,85,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.03253853414042688
0,85,86,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.033395226928261114
0,86,87,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.715,0.034401610148887596
0,87,88,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.72,0.03559341780589705
0,88,89,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.72,0.03701837644750494
0,89,90,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.72,0.03874170792276196
0,90,91,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.72,0.04085497246018045
0,91,92,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.72,0.04349088398079171
0,92,93,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.72,0.04684940004889847
0,93,94,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.725,0.051246550477247646
0,94,95,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.725,0.057213054146045245
0,95,96,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.725,0.06571407686049353
0,96,97,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.725,0.07870843429072744
0,97,98,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.725,0.1008710116265301
0,98,99,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.725,0.14679933160380726
0,99,100,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.725,0.29710939554921967
1,0,1,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,381,0.0475,0.0,0.02643592590823947
1,1,2,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,380,0.05,0.355,0.026436004885828195
1,2,3,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,380,0.05,0.385,0.026436092639258005
1,3,4,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.49,0.026436190143752203
1,4,5,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.49,0.026436298482922657
1,5,6,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.54,0.026436418860820182
1,6,7,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.55,0.026436552615325407
1,7,8,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.6,0.026436701233029745
1,8,9,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.61,0.026436866365772107
1,9,10,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.61,0.026437049849016486
1,10,11,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.615,0.026437253722275154
1,11,12,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.63,0.02643748025180602
1,12,13,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.63,0.026437731955837852
1,13,14,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.635,0.026438011632605587
1,14,15,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.635,0.026438322391509787
1,15,16,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.64,0.02643866768774938
1,16,17,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.645,0.026439051360816323
1,17,18,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.655,0.02643947767728451
1,18,19,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.655,0.02643995137837397
1,19,20,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.67,0.026440477732826075
1,20,21,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.67,0.026441062595685745
1,21,22,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.67,0.026441712473654764
1,22,23,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.67,0.026442434597755405
1,23,24,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.67,0.026443237004128324
1,24,25,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.67,0.02644412862388257
1,25,26,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.675,0.026445119383021215
1,26,27,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.68,0.026446220313583613
1,27,28,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.68,0.026447443677277555
1,28,29,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.69,0.026448803103022025
1,29,30,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.69,0.026450313739987182
1,30,31,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.695,0.02645199242790394
1,31,32,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.695,0.02645385788662454
1,32,33,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.705,0.026455930927150234
1,33,34,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.705,0.026458234686606873
1,34,35,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.705,0.02646079488994719
1,35,36,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.705,0.026463640141495513
1,36,37,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026466802249831164
1,37,38,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026470316589938273
1,38,39,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026474222507039114
1,39,40,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026478563767084632
1,40,41,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.02648338905950983
1,41,42,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026488752558586064
1,42,43,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026494714550530745
1,43,44,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.02650134213448694
1,44,45,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026508710006579315
1,45,46,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026516901337516833
1,46,47,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026526008755674672
1,47,48,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026536135449285982
1,48,49,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.02654739640335273
1,49,50,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.02655991978919785
1,50,51,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026573848527294993
1,51,52,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026589342047208978
1,52,53,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.71,0.026606578272259363
1,53,54,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.715,0.026625755861006607
1,54,55,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.715,0.026647096743008546
1,55,56,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.715,0.026670848992698074
1,56,57,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.715,0.026697290092931522
1,57,58,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.715,0.02672673064905654
1,58,59,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.72,0.026759518625632018
1,59,60,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.72,0.02679604419169084
1,60,61,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.02683674527729303
1,61,62,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.02688211396487596
1,62,63,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.02693270386460616
1,63,64,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.026989138654921512
1,64,65,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.02705212200948576
1,65,66,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.027122449182177693
1,66,67,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.027201020585578047
1,67,68,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.02728885777980084
1,68,69,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.027387122392959814
1,69,70,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.027497138629550444
1,70,71,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.027620420198802988
1,71,72,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.027758702725761756
1,72,73,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.027913983013186962
1,73,74,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.725,0.028088566930140623
1,74,75,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.028285128252893144
1,75,76,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.02850678153265449
1,76,77,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.028757173095959973
1,77,78,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.029040595720756707
