run_id,N,T,initial_corruption_rate_parameter,beta,gamma,alpha,memory_endowment,collaboration_cost,discount_factor,initial_num_corrupted,initial_corruption_rate_actual,final_num_corrupted,final_num_honest,final_corruption_rate,spread_amount,spread_rate_change,full_corruption,no_spread,belief_cutoff
102,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,11,0.0275,20,380,0.05,9,0.022500000000000003,False,False,0.034102314032345635
103,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,0.045,25,375,0.0625,7,0.0175,False,False,0.034102314032345635
104,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,11,0.0275,17,383,0.0425,6,0.015000000000000003,False,False,0.034102314032345635
105,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,28,0.07,43,357,0.1075,15,0.03749999999999999,False,False,0.034102314032345635
106,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,21,379,0.0525,5,0.012499999999999997,False,False,0.034102314032345635
107,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,0.045,28,372,0.07,10,0.02500000000000001,False,False,0.034102314032345635
108,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,12,0.03,17,383,0.0425,5,0.012500000000000004,False,False,0.034102314032345635
109,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,0.05,34,366,0.085,14,0.035,False,False,0.034102314032345635
110,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,17,383,0.0425,1,0.0025000000000000022,False,False,0.034102314032345635
111,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,15,0.0375,18,382,0.045,3,0.0075,False,False,0.034102314032345635
112,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,15,0.0375,18,382,0.045,3,0.0075,False,False,0.034102314032345635
113,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,12,0.03,19,381,0.0475,7,0.0175,False,False,0.034102314032345635
114,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,23,377,0.0575,7,0.0175,False,False,0.034102314032345635
115,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,0.055,29,371,0.0725,7,0.017499999999999995,False,False,0.034102314032345635
116,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,0.065,33,367,0.0825,7,0.0175,False,False,0.034102314032345635
117,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,0.0525,26,374,0.065,5,0.012500000000000004,False,False,0.034102314032345635
118,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,0.045,23,377,0.0575,5,0.012500000000000004,False,False,0.034102314032345635
119,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,14,0.035,19,381,0.0475,5,0.012499999999999997,False,False,0.034102314032345635
120,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,23,0.0575,28,372,0.07,5,0.012500000000000004,False,False,0.034102314032345635
121,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,0.0625,37,363,0.0925,12,0.03,False,False,0.034102314032345635
122,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,17,0.0425,28,372,0.07,11,0.027500000000000004,False,False,0.034102314032345635
